Packet,Power Setpoint (kW),Dwell Time (s),mean_value,mean_MovAvgValue,skew_value,skew_MovAvgValue,std_value,std_MovAvgValue,BeadNumber
1,1.5,0,173.5678899082569,173.74880952380954,0.0021521873513096076,-0.5127086996934304,18.939622139082758,5.1627235604172705,1
1,1.5,15,178.16190476190476,179.25373983739837,-0.15560374942793773,0.5449819196344262,20.69770757167121,5.583853020347643,1
2,1.5,15,173.83276836158194,173.83525423728813,0.0190604904143885,-0.3818376959524562,16.124087349701732,4.88856970016847,1
2,1.5,30,172.65060240963857,172.95052845528454,0.09587722278909644,-0.8119387162802857,29.920298084035785,9.694212533495683,1
3,1.5,30,173.81333333333333,173.7763703703704,0.15227617476497227,-0.8087385403639283,24.18950925936603,4.980485142017979,1
3,1.5,60,174.37679999999997,174.39799731182794,-0.12816575851901577,-0.5244924778498813,21.031286739890255,6.336651070733176,1
4,1.5,60,173.0326086956522,173.17434782608697,-0.08235560606240494,-0.07540278305086992,18.11925761218232,4.227217229343819,1
4,1.8,0,166.28035714285713,166.41741516966067,-0.2572816841876325,-2.49490152051823,16.914587329945235,7.487542232045349,1
5,1.8,0,166.9125,166.945,0.007400214797229872,-0.3245826855923095,16.94384673879259,4.882552401021209,1
5,1.8,15,165.96635514018692,165.96723004694834,0.16014159719678797,0.00662769086328725,16.89141762758613,5.425480835019906,1
5,1.8,30,178.4,177.2,-0.08063361339373387,-0.47053254967426417,21.962968833925892,7.887366832825513,1
6,1.8,30,175.7417840375587,176.0260641627543,-0.19360360849085817,-1.0958273265358174,16.962480533778095,6.250705244449763,1
6,1.8,60,167.79148936170213,167.68615942028987,0.1556735217135234,-0.5026535084197559,15.87873653098812,5.889781031683676,1
7,1.8,60,165.20462427745665,165.08971098265897,0.31476212949231214,-0.19931465223535352,17.05783873216836,4.372924414992685,1
7,2.1,0,173.28045977011493,173.14153100775195,0.4282100039540098,-1.203744454324765,17.002180701997105,4.611112240283384,1
8,2.1,0,173.00381679389312,173.2157251908397,0.34935724932006845,-0.8537851229809139,14.412897026782598,4.155692903537794,1
8,2.1,15,164.56356589147288,164.41423177083334,0.25358785194911626,-1.955293710149169,12.341899785287413,4.513717925894164,1
9,2.1,15,164.975,165.02129166666666,0.22433407408216294,-0.3759422006825096,12.899421044804262,4.089781122818156,1
9,2.1,30,176.47333333333333,176.4335195530726,0.18136846740157353,-1.1527475926505908,14.946954997160821,4.701280574618172,1
10,2.1,30,175.83783783783784,176.825,0.22336635453796266,-0.21974945110393318,15.583348508929353,3.8409142430184704,1
10,2.1,60,175.85205479452054,175.83116972477063,0.07734958737800908,0.0006496220822004335,13.367718643125107,4.434364867373946,1
11,1.5,0,170.31176470588235,170.21179545454547,-0.0719740608122726,-1.9681295505908374,22.57407900182749,7.505705384181717,2
11,1.5,15,171.39302325581394,171.14000000000001,0.057554855236906545,-0.4966818740923041,32.294016807989124,6.746511293561016,2
12,1.5,15,172.77514124293785,172.93604519774013,-0.03873377826471191,-0.479110504307917,19.396158625876524,5.558836143535145,2
12,1.5,30,177.3425287356322,177.7025968992248,-0.17988924682249094,0.43975294221668937,23.369114143602506,5.629597796175971,2
13,1.5,30,173.0725925925926,173.09214814814814,-0.011753879466581484,-0.46261348918681383,20.4441409686179,4.218367864538954,2
13,1.5,60,171.84186046511627,171.59447916666667,-0.236021465849304,-2.2966052908192776,19.990695873621505,7.648854661686815,2
14,1.5,60,174.76373626373626,174.49714285714285,-0.17921285876006787,-1.351105914900888,19.57930038747563,6.984315489519569,2
14,1.8,0,162.51098265895953,162.4985465116279,-0.03020943127149724,-0.05501964624752527,16.53599476493557,5.228054934804422,2
15,1.8,0,163.3,163.32425531914893,-0.44434262709767297,-0.5224825336002864,15.376124914662482,4.927376824252187,2
15,1.8,15,163.46172248803828,163.30547275641024,0.12972225398394802,-1.020906562563027,19.296329585709024,6.506635201138364,2
15,1.8,30,171.65,171.07380952380953,-0.22201177189203133,1.4464534699153386,28.164364515668172,7.142984820287463,2
16,1.8,30,171.10934579439254,171.14518691588785,0.12755205811673406,-0.4396047359347463,28.08911383440087,8.031884668395135,2
16,1.8,60,165.18599999999998,164.99639455782312,-0.04771066467092332,0.01402996239206164,27.835434838584096,6.634271773258254,2
17,1.8,60,162.72383720930233,162.95627906976745,-0.042267533012422025,-0.34176067034760227,19.39135158218401,5.499598293998278,2
17,2.1,0,169.26304347826087,169.5575641025641,-0.0851883857018589,0.7558507546014565,22.498316017037467,6.79405398763468,2
