,Power Setpoint (kW),Dwell Time (s),BeadNumber,mean_value,mean_MovAvgValue,mean_ProcessValue_Ref,skew_value,skew_MovAvgValue,skew_ProcessValue_Ref,std_value,std_MovAvgValue,std_ProcessValue_Ref
201,2.1,30,2,-0.9288653643262708,-0.9291383310572023,-0.38938715781311967,0.09285163075600433,0.6885798373201936,0.6885798373201936,0.7778397362810519,0.3866613049151578,0.3866613049151579
202,2.1,30,3,-0.7155413811020205,-0.7473570031104805,-0.2076058298663979,-0.02481210337197949,0.35087424285637886,0.3508742428563805,0.7439917979274974,0.33868415198375,0.3386841519837501
203,2.1,30,4,-0.692693905943465,-0.7041650020308048,-0.16441382878672217,0.7050969625305389,0.3505103349980955,0.3505103349980954,0.7150991239897502,0.37181817264229394,0.3718181726422939
204,2.1,30,5,-0.7102139650193765,-0.7266065934661554,-0.18685542022207283,-0.08158568677250935,0.6931026714711909,0.6931026714711895,0.5050646131005824,0.29277879464768686,0.29277879464768686
205,2.1,30,6,-0.6947709491396975,-0.6914213964544156,-0.15167022321033294,0.6044825849740286,0.5045519722626067,0.5045519722626072,0.9296365862456666,0.5055980428270108,0.5055980428270108
206,2.1,30,7,-0.5987902006932436,-0.6107220572297702,-0.07097088398568764,0.03273949287189489,0.7466260179445986,0.7466260179445993,0.5088628270842194,0.32828679354760115,0.32828679354760115
207,2.1,30,8,-0.6407678260376581,-0.657129829975385,-0.11737865673130247,0.3487012465618604,0.3616476863085126,0.361647686308512,0.7273542575074795,0.41241096313030395,0.41241096313030395
208,2.1,30,9,-0.45536811801033245,-0.47559240824839355,0.06415876499568908,0.7483400138826535,1.736400642215214,1.7364006422152136,0.6614975447589468,0.4962276382300532,0.4962276382300532
209,2.1,30,10,-0.4335729698399201,-0.4349082010086703,0.10484297223541236,0.43161152671206665,0.8888060884881519,0.888806088488152,0.6172482875086313,0.32817456493216196,0.3281745649321619
210,2.1,30,11,-0.13118371887978927,-0.1628924392436328,0.3768587340004498,0.9762048178263452,0.95449263387269,0.9544926338726895,0.7620862315491606,0.436430377669136,0.436430377669136
211,2.1,30,12,-0.19254384545259587,-0.18404603015721072,0.3557051430868719,0.42109008321998515,0.6964341697833974,0.6964341697833966,0.7023743869137098,0.37722514838110877,0.37722514838110877
212,2.1,30,13,0.30343581749402265,0.27455130197275285,0.8143024752168355,1.4618885453459616,1.6856311309409804,1.6856311309409804,0.8549638844331027,0.5861883386652608,0.5861883386652607
213,2.1,30,14,0.15162415332496046,0.14301836717464525,0.682769540418728,0.5518775919127081,1.526437728884645,1.5264377288846467,0.8482881899572361,0.49192919476351094,0.491929194763511
214,2.1,30,15,0.41629672079999047,0.39398896799575633,0.933740141239839,0.7040923936826458,1.9410626309287518,1.9410626309287524,0.8092329793649391,0.5775516983832581,0.5775516983832581
215,2.1,30,16,0.6596405958070661,0.6557658087837919,1.1955169820278746,0.8751211530985498,0.9100844379704764,0.9100844379704764,0.795776132775205,0.4884247355078319,0.488424735507832
216,2.1,30,17,0.8188742801145832,0.8077143787855434,1.347465552029626,0.9761799558449732,1.5807413093519855,1.5807413093519838,0.7746968234490428,0.5785301409827379,0.578530140982738
217,2.1,30,18,0.7976326670568185,0.807264757168415,1.3470159304124978,0.5277927969862242,0.9214094541766717,0.9214094541766705,0.752769279650951,0.513096163968749,0.5130961639687489
218,2.1,30,19,1.3049606228889077,1.2451251011743294,1.7848762744184121,1.6254131101246718,2.435105647282845,2.4351056472828474,1.032193762558176,0.7107095763245687,0.7107095763245684
219,2.1,30,20,1.3755218567048368,1.411732532791675,1.9514837060357575,0.8638759223451817,1.7059266926962018,1.7059266926962042,1.0439119695702612,0.7379000809886138,0.7379000809886134
220,2.1,60,1,1.2886800522175816,1.2771676875457645,0.0,-0.11231528831350449,-0.8230356974107379,0.0,0.4918912263332615,0.2796080091034333,0.0
221,2.1,60,2,0.9417808424023126,0.9233391204410096,-0.350866811174286,-0.1787304270577787,-0.7221969711574763,-0.7221969711574752,0.8410772612080984,0.5228039315318737,0.5228039315318738
222,2.1,60,3,1.315135386886083,1.3023998344221035,0.028193902806807978,-0.39341419787859316,-0.7330591599539537,-0.7330591599539531,0.7058350952959961,0.4587059531229473,0.4587059531229472
223,2.1,60,4,1.1829287258971446,1.2012830766331333,-0.07292285498216236,0.413614557922489,-0.09531072394461815,-0.09531072394461801,0.7927011986239378,0.4321342545633893,0.43213425456338933
224,2.1,60,5,1.4770102734405648,1.4615108529696512,0.18730492135435545,-0.6743880201931339,-0.672741274812411,-0.672741274812411,0.5598303974955934,0.35378633282814803,0.35378633282814803
225,2.1,60,6,1.2378044086243098,1.2458060427221753,-0.028399888893120374,-0.10883757004333927,-0.2223434559917605,-0.22234345599176344,0.7343314759497737,0.4430373185152831,0.44303731851528316
226,2.1,60,7,1.505824836206052,1.495150372466945,0.22094444085164947,0.17478515395899713,0.9209451856718619,0.9209451856718633,0.7721784489238952,0.45990168161326345,0.45990168161326345
227,2.1,60,8,1.527436180357642,1.5374250488447188,0.26321911722942315,0.35407006262300994,0.3416894270801541,0.34168942708015415,0.7314295394977578,0.38396766088955075,0.3839676608895507
228,2.1,60,9,1.8662959716302616,1.8432190715585517,0.569013139943256,0.042808126745452375,1.53154619376398,1.5315461937639805,0.7396329956323716,0.3973636340771471,0.3973636340771471
229,2.1,60,10,1.5315435717670072,1.5304555567432148,0.2562496251279192,-0.3138449469192974,0.8461015756816558,0.8461015756816552,0.7000025985220332,0.4039863214500582,0.4039863214500582
230,2.1,60,11,2.1029844015949255,2.0881531056239333,0.8139471740086379,0.785799121622165,1.7933249497451242,1.793324949745125,0.7717113006931041,0.5103140065802986,0.5103140065802985
231,2.1,60,12,1.7625843385437936,1.7681005556987204,0.4938946240834247,0.4447739983476729,1.055930989573684,1.055930989573684,0.800642088566088,0.4515337978331729,0.45153379783317305
232,2.1,60,13,2.0819389573904505,2.0804548944760493,0.8062489628607535,0.09530805525680536,1.0683543525046093,1.0683543525046115,0.6697167821109096,0.4338718960505626,0.43387189605056253
233,2.1,60,14,1.8209160776275009,1.8234234438777879,0.5492175122624923,0.09258004304949691,0.660506388587403,0.6605063885874047,0.8109167879855876,0.4421262459915397,0.4421262459915395
