,Power Setpoint (kW),Dwell Time (s),BeadNumber,mean_value,mean_MovAvgValue,skew_value,skew_MovAvgValue,std_value,std_MovAvgValue
187,2.1,15,8,17.751415094339624,17.73944707740916,1.177173925718469,0.8306639583133976,0.9745325175836645,0.5769716229307468
188,2.1,15,9,17.528761061946902,17.514414814814813,-0.19719530295473364,-1.3138500389392114,0.89998284699048,0.5862719271779965
189,2.1,15,10,17.556053811659194,17.553078078078077,2.3483244936027026,1.3202779439892407,0.903719360075872,0.4908148383457656
190,2.1,15,11,17.642342342342342,17.63351515151515,1.0031859384820119,1.3948299753387772,1.0520868767827876,0.4858496585238038
191,2.1,15,12,17.807111111111112,17.785833333333333,2.040092348005376,1.4599126245976954,0.870623294332813,0.4478606623659497
192,2.1,15,13,17.850467289719628,17.822973395931143,2.1652245627272455,0.9613551167727898,1.001254971375603,0.442879639490289
193,2.1,15,14,17.801415094339625,17.799826224328594,0.6567536620325228,0.4211376636420068,0.8576104117542394,0.5277923185903464
194,2.1,15,15,17.83422222222222,17.822247023809524,1.2487093282789739,0.43604037037506366,0.7828704306020942,0.4194890484564044
195,2.1,15,16,17.74533333333333,17.748705357142857,0.9676970574864343,0.7648139943327856,0.7105631569396212,0.3729336164828934
196,2.1,15,17,18.04778761061947,18.031925925925925,1.4777849370554361,0.08558447373119696,0.840433469652707,0.3841325060274744
197,2.1,15,18,17.918666666666667,17.920044642857142,1.317217027467999,2.0130950098429734,0.6888836725352945,0.32820547234741965
198,2.1,15,19,18.014222222222223,18.005885416666665,0.06709222082422565,0.6128469996218437,0.695246901444554,0.3347772869448216
199,2.1,15,20,17.92914798206278,17.925217717717718,0.09027663262515426,-1.221844260930175,0.7072995788340904,0.32349238852915235
200,2.1,30,1,16.209633027522933,16.21242703533026,0.07248595634742644,0.852830793760651,0.5008277509675142,0.20295482612339394
201,2.1,30,2,17.71511111111111,17.704494047619047,0.6599671398678071,-0.2909257310810205,1.5374326672570755,0.7947525597661771
202,2.1,30,3,17.71473214285714,17.685896860986546,1.5768037466902278,1.9195936657210946,1.5115124488695975,0.7626766309967715
203,2.1,30,4,17.436607142857145,17.39657698056801,2.0787162056671145,2.950521261071851,1.3629298127811222,0.9076351102847834
204,2.1,30,5,17.215837104072396,17.185621212121212,1.552972766416996,2.2992752041823277,0.963409122325851,0.45931841609202084
205,2.1,30,6,17.244594594594595,17.233823529411765,1.9549877043755157,1.6464574148565112,0.8675354218739099,0.4020385221120381
206,2.1,30,7,17.15223214285714,17.133961136023917,2.863835844955307,3.193349432636289,1.1821142492730559,0.6345064246224706
207,2.1,30,8,17.37488789237668,17.348415915915915,2.1006191237496075,3.023772010624329,1.2910282447788306,0.6287362976741594
208,2.1,30,9,17.164125560538118,17.13503003003003,2.0978977299264305,2.4675614111689668,1.010648272204273,0.49844340314912944
209,2.1,30,10,17.11187214611872,17.090703363914376,0.8376977404956706,1.2512705143049552,0.9592359641686445,0.4277368008396302
210,2.1,30,11,17.183856502242154,17.146606606606607,2.63849002437797,2.5242641877201946,1.0719223352599554,0.5472438335604435
211,2.1,30,12,17.239814814814817,17.22341860465116,0.8987465927347468,1.5216128502637445,0.674373413199737,0.306878026285259
212,2.1,30,13,17.380357142857143,17.341778774289985,1.7974519198577685,3.5812542501547964,1.0929319833857416,0.5835820790007392
213,2.1,30,14,17.380090497737555,17.367916666666666,0.6317301721177068,0.9343920241637073,0.7557428560695802,0.3781889144631703
214,2.1,30,15,17.276785714285715,17.26542600896861,0.401592597189697,1.0541811365015687,0.8066408387039172,0.4344362326295856
215,2.1,30,16,17.44170403587444,17.423648648648648,1.3257562718972336,1.6601949981437147,0.8127978385952319,0.40683050710830976
216,2.1,30,17,17.520627802690584,17.48578078078078,1.4231827386702625,2.7289129899203717,0.9973503457644661,0.5524259228096107
217,2.1,30,18,17.401818181818182,17.405646879756468,2.3344801006091096,2.77417667103087,0.8262786486091503,0.38820321101448185
218,2.1,30,19,17.534375,17.511255605381166,0.9225021562871014,1.314649528792348,0.9725499572168584,0.48585880326894815
219,2.1,30,20,17.480717488789235,17.44680930930931,2.531494752450109,2.223191079706512,0.9994752794553318,0.49781366354620554
220,2.1,60,1,16.35135135135135,16.34371040723982,1.234512103215453,2.3788840852806405,0.5935345259205261,0.27070075281205797
221,2.1,60,2,17.946636771300447,17.958445945945947,0.798882345742208,1.068378733210757,1.351800563643546,0.6661902519671634
222,2.1,60,3,17.700896860986546,17.67765015015015,2.255116711751841,2.335645267102501,1.414913839779339,0.7445564450575933
223,2.1,60,4,17.239269406392694,17.229564220183487,1.252160538009872,1.5532514901564327,0.9776921972644812,0.4153452794746814
224,2.1,60,5,17.130593607305936,17.120030581039753,1.4683201949737983,0.8900356773418292,0.9287582289535069,0.37256682762583504
225,2.1,60,6,17.244907407407407,17.244472868217052,0.8826430057002769,0.46346272012109274,0.7630245756295437,0.3058468083185759
226,2.1,60,7,17.19864864864865,17.185369532428357,3.107822204256871,3.291124409040904,1.1875096467235586,0.6483661491241917
227,2.1,60,8,17.170909090909092,17.157823439878236,1.0059375094443712,1.254801984366481,0.8291322916125038,0.38359276060999214
228,2.1,60,9,17.182027649769584,17.158657407407407,0.5731862343333435,1.2564861964261058,0.8750129835917713,0.3705926504605384
229,2.1,60,10,17.313963963963964,17.283755656108596,1.6368937488913555,3.038465537861936,1.0527849550556168,0.503821905788101
230,2.1,60,11,17.294117647058822,17.276045454545454,1.1609020073036829,2.3734068869725387,0.9470584913806831,0.387139784233452
231,2.1,60,12,17.283856502242152,17.245442942942944,2.2201700625141285,4.5974169944146865,1.1152947402790077,0.6243768871703401
232,2.1,60,13,17.314746543778803,17.30638888888889,0.8784749058312239,0.705149343464021,0.8670747198032004,0.42428026912646316
233,2.1,60,14,17.429596412556055,17.40108858858859,1.4851862548924675,2.3220301213692847,1.078045996104434,0.6437986099986638
234,2.1,60,15,17.405429864253392,17.396371212121213,1.7539229339685758,1.8311008545880298,1.0879787016692417,0.5228291603165086
235,2.1,60,16,17.550672645739912,17.512852852852852,1.313869751889781,2.2758500493894522,1.095686462811744,0.5380047532309682
236,2.1,60,17,17.476576576576576,17.464894419306184,0.8630328718120484,0.7487858839731621,0.9248167195167539,0.46624590220966106
237,2.1,60,18,17.631531531531532,17.587269984917043,2.1074449918848486,3.1386812751928326,1.114201374357964,0.5750383720257879
