,Power Setpoint (kW),Dwell Time (s),BeadNumber,mean_value,mean_MovAvgValue,skew_value,skew_MovAvgValue,std_value,std_MovAvgValue
0,1.5,0,1,173.5678899082569,173.74880952380954,0.0021521873513096076,-0.5127086996934304,18.939622139082758,5.1627235604172705
1,1.5,0,2,170.31176470588235,170.21179545454547,-0.0719740608122726,-1.9681295505908374,22.57407900182749,7.505705384181717
2,1.5,0,3,175.39454545454547,175.44831811263316,-0.002805051256960808,-0.1567543608340647,15.357727288361321,5.627331484175673
3,1.5,0,4,173.00366972477065,173.03029185867896,-0.041959055377653716,-0.9292777760699821,14.683834972939987,4.5020850241449075
4,1.5,0,5,173.602752293578,173.70084485407068,-0.13877306039633322,-0.03610018440165639,14.43602418373181,5.0357464733874355
5,1.5,0,6,171.46972477064222,171.54758832565284,0.11342759021784275,-1.9085841543030921,15.871593060664916,4.752975323892787
6,1.5,0,7,170.84746543778803,170.83881172839506,0.06469695855834573,-0.18965293163472413,13.698459143206787,4.594171878381315
7,1.5,0,8,170.86589861751153,170.8103163580247,-0.032077969869934705,0.6030884806523391,13.137183525061806,3.9695147960411448
8,1.5,0,9,169.57194570135746,169.58929545454544,-0.17099967994310156,-0.31466551022185324,12.892197440056602,5.140190647191697
9,1.5,0,10,165.78868778280545,165.68788636363635,-0.37784417636824,-1.0057802566978538,15.929421281426661,5.324269599470874
10,1.5,0,11,165.785,165.78737442922375,-0.17509283956714244,-0.6286221310383568,12.720956803996017,5.25282825317227
11,1.5,0,12,165.1968181818182,165.17893455098934,0.025548391456657302,0.07981011951487282,14.078573988070218,4.992880755415329
12,1.5,0,13,163.89282511210763,163.8968018018018,-0.10257403730663113,0.2897457740113311,14.069852845709049,5.21147857675871
13,1.5,0,14,162.64751131221718,162.71554545454543,-0.019473271908421783,0.3386623703601421,15.46094656799126,5.466125335659537
14,1.5,0,15,163.051598173516,163.20707186544345,-0.08801065871123104,-0.06623152520665901,12.453776358970911,5.58680967975295
15,1.5,0,16,160.52304147465438,160.53796296296295,-0.18797374903722394,-0.13688899659414694,13.788797921284244,4.009150291986848
16,1.5,0,17,158.86136363636365,159.02373668188736,-0.13721228724912757,-0.026302506286737533,10.637716476323059,4.439849706932861
17,1.5,0,18,158.94932126696833,158.8239090909091,-0.07774875385806443,-1.445400165560502,14.802133199795904,4.900501716082074
18,1.5,0,19,156.99955156950674,157.2118168168168,-0.22256974908080562,-0.30887241215067124,12.767845655430175,5.818380454093285
19,1.5,0,20,156.19174311926608,156.1175038402458,0.08311546190847828,0.1571812800016647,12.255491600376054,4.149387291537813
20,1.5,15,1,174.66301369863012,174.8543272171254,0.029592875307703558,0.07937454589982161,17.12848777996038,5.443725050737011
21,1.5,15,2,172.505,172.59159817351596,-0.026198775924122668,-0.5346067961271022,22.41994021352604,5.8317966375107
22,1.5,15,3,177.19425837320574,177.05713942307693,-0.05066096016072662,-0.8926310177940003,23.18656908872029,7.551021433879408
23,1.5,15,4,174.3563063063063,174.2584539969834,0.06363927049042108,-1.441576644755219,15.19987291134819,4.27134714106867
24,1.5,15,5,175.1443925233645,175.05938967136152,-0.017755374341046248,0.02076324493917497,13.139084130519295,5.060411887135375
25,1.5,15,6,174.4150684931507,174.56111620795107,-0.14806934190812998,-4.052623360097149,16.236308314354382,7.073593129893973
26,1.5,15,7,174.36547085201795,174.29682432432432,0.030871589816164915,-0.18600723653903312,13.630058218953964,4.678405279090694
27,1.5,15,8,173.39729729729729,173.41227752639517,0.04591775042383672,-0.3442519402668657,13.6173828188199,4.254200463333267
28,1.5,15,9,172.91227272727272,173.12308219178084,-0.13246257092936178,0.01145093268667061,15.68139066141664,4.849151767028573
29,1.5,15,10,172.78949771689497,172.9705886850153,-0.057582611840358185,1.6079383345973515,15.510615755755833,5.8359142543706986
30,1.5,15,11,172.59315068493152,172.45204128440366,0.11235110717500142,-1.0346454121174828,15.33803806186703,6.380111645026173
31,1.5,15,12,169.1904109589041,169.05855504587154,-0.05074295423797695,-3.4910231290953795,17.004029455403987,5.902347369420598
32,1.5,15,13,168.82822966507177,169.04884615384617,-0.23805393329186492,0.1345028473779472,19.411436389825234,6.487566483015596
33,1.5,15,14,165.99436619718313,165.82794811320755,-0.11044457685523418,-0.2745743286611947,17.519729207575562,5.169809360767461
34,1.5,15,15,163.66045454545457,163.7636681887367,-0.010665321180269772,0.5441095267064165,17.407842922838974,7.671773981215558
35,1.5,15,16,165.25096153846152,165.19289049919487,-0.09476091624432287,-1.8365909756960033,17.00965906437975,5.614226910484348
36,1.5,15,17,166.4181818181818,166.57025875190257,0.05838676629144972,1.249382333622917,17.727020274729533,7.095403348930532
37,1.5,15,18,163.8774193548387,164.01323302469135,-0.18147330778285364,0.8479327817049672,14.787247282652965,5.127362633349691
38,1.5,15,19,161.1290909090909,161.009101978691,-0.2741326545870763,-1.9088845070777585,14.546030514748347,6.518696118697479
39,1.5,15,20,163.12772727272727,163.1751598173516,-0.13841700890166025,0.10702498949703391,15.003360485616318,4.491536725135437
40,1.5,30,1,173.37064220183487,173.46430107526882,0.10940374577030071,-1.0362272798316252,26.45626005995311,7.126792041296031
41,1.5,30,2,174.74594594594595,174.88625942684766,-0.05397827881101924,0.39898182623253936,21.686531816390314,5.306516356660274
42,1.5,30,3,176.4310185185185,176.51706976744185,0.01877542047897121,-0.748101522077459,16.463589449523035,6.00279384095263
43,1.5,30,4,176.49816513761468,176.5207603686636,0.05369013246566212,-1.1921566713013274,16.283802031446218,4.091770302165737
