Power Setpoint (kW),Dwell Time (s),BeadNumber,mean_Current,mean_MovAvgCurrent,skew_Current,skew_MovAvgCurrent,std_Current,std_MovAvgCurrent,kurt_Current,kurt_MovAvgCurrent,count_Current,count_MovAvgCurrent,mean_Voltage,mean_MovAvgVoltage,skew_Voltage,skew_MovAvgVoltage,std_Voltage,std_MovAvgVoltage,kurt_Voltage,kurt_MovAvgVoltage,count_Voltage,count_MovAvgVoltage,mean_CTWD,mean_MovAvgCTWD,skew_CTWD,skew_MovAvgCTWD,std_CTWD,std_MovAvgCTWD,kurt_CTWD,kurt_MovAvgCTWD,count_CTWD,count_MovAvgCTWD
1.8,0,9,159.9482142857143,160.0833630952381,0.008713070144264751,0.5982812593667918,14.289680695361957,5.359789575540976,-0.002104314485023906,1.2444425742043013,224,224,159.9482142857143,160.0833630952381,0.008713070144264751,0.5982812593667918,14.289680695361957,5.359789575540976,-0.002104314485023906,1.2444425742043013,224,224,0.3197980428154995,0.32469747971269985,-0.24841972076766622,-0.5349310883737473,0.5456111502580117,0.41775924267817116,-0.5261863421130237,-0.5423357390550576,107,107
1.8,0,10,158.16367713004485,158.05627802690583,-0.06624549559374156,-0.28184424058263446,16.333469725219288,5.567567222603482,-0.49272822788419823,0.7301460391992718,223,223,158.16367713004485,158.05627802690583,-0.06624549559374156,-0.28184424058263446,16.333469725219288,5.567567222603482,-0.49272822788419823,0.7301460391992718,223,223,0.3231373937986368,0.3049703381441722,0.23084713059446854,-0.6224402189489345,0.8502911335826128,0.5909646167671988,0.43441003349099283,-0.007429727997455782,110,110
1.8,0,11,155.61596244131454,155.6898200312989,-0.16345906206709884,0.14400314759961902,15.869459474052126,6.564566648249014,-0.44841236670862594,0.023926637633220338,213,213,155.61596244131454,155.6898200312989,-0.16345906206709884,0.14400314759961902,15.869459474052126,6.564566648249014,-0.44841236670862594,0.023926637633220338,213,213,0.978875226644044,0.9625606395333101,0.260589759078059,-0.746321640341974,0.709982095212293,0.43252809034812156,2.3180462971396083,0.5516612443265672,106,106
1.8,0,12,156.19638009049774,156.11552036199095,-0.11699174686240744,-0.38231508731055863,15.010850182462319,5.965750015775046,-0.5391230418113695,2.6314582416245273,221,221,156.19638009049774,156.11552036199095,-0.11699174686240744,-0.38231508731055863,15.010850182462319,5.965750015775046,-0.5391230418113695,2.6314582416245273,221,221,1.3297656786480117,1.3329438625735879,0.5723528482238007,0.26616831596264334,0.9453706114764414,0.686770510707667,0.18439218288189707,-0.4562590368045325,109,109
1.8,0,13,155.60134529147982,155.4247234678625,-0.09685728988826307,0.13372698217772214,15.612937808460886,6.890796317164463,-0.5982043533778265,0.3416577357579871,223,223,155.60134529147982,155.4247234678625,-0.09685728988826307,0.13372698217772214,15.612937808460886,6.890796317164463,-0.5982043533778265,0.3416577357579871,223,223,1.8065326583201284,1.7728994497873314,0.010115266802074105,0.18756587712245246,0.7036952325075615,0.5021406495472323,0.4440244244835152,-0.32863276869748237,103,103
1.8,0,14,153.86636771300448,154.02163677130042,0.06474193767437092,-0.20223852029856024,13.598929766754264,5.144129461533814,-0.19491186490258805,1.5413469901132064,223,223,153.86636771300448,154.02163677130042,0.06474193767437092,-0.20223852029856024,13.598929766754264,5.144129461533814,-0.19491186490258805,1.5413469901132064,223,223,2.0841119623872864,2.079324463415681,0.14051972180141262,0.07710810802837846,0.7744881573963636,0.4489292199339464,0.7752389429019,-0.6276599600205168,107,107
1.8,0,15,153.42760180995475,153.4996229260935,-0.029638625833854744,-0.42222250987709486,14.41741397013273,6.0710517833534325,-0.5817883071392007,0.05639589811628953,221,221,153.42760180995475,153.4996229260935,-0.029638625833854744,-0.42222250987709486,14.41741397013273,6.0710517833534325,-0.5817883071392007,0.05639589811628953,221,221,2.8807655682378566,2.8808602849441294,0.028020670189382185,0.2017748640496521,0.6008474076009784,0.44238625006203325,-0.44435261864278397,-0.7168661055263952,107,107
1.8,0,16,151.11076233183854,150.86115844544094,0.09953510894495286,-0.3142233346759834,13.494312143530815,4.767501495680767,-0.5274422765948419,-0.019401557355515298,223,223,151.11076233183854,150.86115844544094,0.09953510894495286,-0.3142233346759834,13.494312143530815,4.767501495680767,-0.5274422765948419,-0.019401557355515298,223,223,3.2415205909502154,3.270862924489649,0.43499660572430543,-0.024284519254116444,0.8081012790380084,0.5247141366356219,0.01989811273170039,-0.8651280621353572,105,105
1.8,0,17,152.4075892857143,152.58982142857144,-0.05972406039021287,0.48440584388836316,14.01664243014046,6.178160795899308,-0.7681886595602965,0.2863032086950481,224,224,152.4075892857143,152.58982142857144,-0.05972406039021287,0.48440584388836316,14.01664243014046,6.178160795899308,-0.7681886595602965,0.2863032086950481,224,224,3.7605553931496276,3.747229535359746,0.14433786085123457,0.3578523004321667,0.6355375655989316,0.37818742372352193,1.4525010347787464,0.0924752336312098,110,110
1.8,0,18,150.26233183856502,150.35156950672646,-0.0034746038956267886,-0.11440458816292332,11.61703928482825,3.610330367624307,-0.40176771378502485,0.1483932947887241,223,223,150.26233183856502,150.35156950672646,-0.0034746038956267886,-0.11440458816292332,11.61703928482825,3.610330367624307,-0.40176771378502485,0.1483932947887241,223,223,4.05545446030364,4.077768322202796,0.3987637834480672,-0.14578709331093612,0.6766550248871612,0.41838763814748225,0.0927247392930175,-0.05632417370767184,105,105
1.8,0,19,148.9421524663677,149.09145739910312,0.16688017873497918,-0.3478485533682977,14.941827704997758,5.512356656364,-0.8518419210407768,0.2713237624859026,223,223,148.9421524663677,149.09145739910312,0.16688017873497918,-0.3478485533682977,14.941827704997758,5.512356656364,-0.8518419210407768,0.2713237624859026,223,223,4.664003694376062,4.666784761840882,-0.08989521545675551,0.18237280217365787,0.5437159589931806,0.3274835043617199,0.5271191682744036,-0.8906040793874688,108,108
1.8,0,20,148.03558558558558,148.14547297297295,0.2578357623036459,0.033043645864578586,11.790334425054825,3.918173329671329,-0.4459728058934025,-0.1241282273573372,222,222,148.03558558558558,148.14547297297295,0.2578357623036459,0.033043645864578586,11.790334425054825,3.918173329671329,-0.4459728058934025,-0.1241282273573372,222,222,4.941112247960343,4.981995422631533,0.668398938774327,1.1898141424345114,0.6398074721765036,0.4372286677823838,1.0502246947978509,1.965416212760076,107,107
